Name,Sex,Equipment,Age,BodyweightKg,WeightClassKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
Angie Belk Terry,F,Wraps,47,59.6,60,20.41,70.31,138.35,155.05
Dawn Bogart,F,Single-ply,42,58.51,60,95.25,163.29,401.42,456.38
Destiny Dula,F,Raw,18,63.68,67.5,31.75,90.72,122.47,130.47
Courtney Norris,F,Wraps,28,62.41,67.5,77.11,145.15,392.36,424.4
Maureen Clary,F,Raw,60,67.31,67.5,95.25,163.29,383.28,391.98
Priscilla Sweat Pardue,F,Wraps,52,65.95,67.5,54.43,108.86,283.49,294.25
Kayce Hoover,F,Wraps,24,65.5,67.5,65.77,136.08,340.2,354.89
Cindy Meeker,F,Wraps,56,71.21,75,43.09,129.27,292.56,287.67
Candice Pardue Maness,F,Wraps,54,70.58,75,74.84,106.59,283.49,280.44
Danielle Ortiz,F,Raw,17,69.31,75,49.9,115.67,247.22,247.64
Jessica Jenkins,F,Multi-ply,32,80.56,82.5,161.03,210.92,601.01,547.81
Kelly Benson,F,Raw,22,88.72,90,77.11,120.2,299.37,260.25
Cathy Cranford,F,Raw,56,83.1,90,38.56,102.06,226.8,203.35
Alexis Eliopoulos,F,Wraps,30,88.36,90,122.47,195.04,492.14,428.59
Shannon Nash,F,Raw,44,83.64,90,165.56,0,165.56,147.95
Paula Bowers,F,Wraps,34,94.8,90,47.63,92.99,215.46,182.5
Scott Faircloth,M,Wraps,27,71.3,75,99.79,188.24,469.47,346.96
Scott Terry,M,Multi-ply,49,79.11,82.5,131.54,219.99,605.54,416.35
Michael Mahaffey,M,Raw,42,81.92,82.5,154.22,247.21,635.03,427.22
Jacob Hunt,M,Wraps,17,89.81,90,106.59,192.78,458.13,292.78
Tyler Jacobs,M,Wraps,19,93.17,100,147.42,181.44,539.78,338.79
Jeff Beckham,M,Raw,45,96.16,100,172.37,240.4,412.77,255.37
Raymond Hubbe,M,Raw,66,98.34,100,149.69,0,149.69,91.72
Al Reiss,M,Wraps,61,101.79,110,104.33,167.83,442.26,267.3
Rob Bumgarner,M,Multi-ply,58,105.96,110,158.76,0,158.76,94.57
Barron Henderson,M,Single-ply,40,118.66,125,181.44,301.64,845.95,487.65
Chris Senter,M,Raw,51,131.18,140,206.38,0,206.38,116.54
Harold Collins,M,Single-ply,59,173.91,140,204.12,274.42,832.34,450.43
Maggie Parsons,F,Raw,20,48.99,52,37.5,100,212.5,277.21
LeighAnn Allen,F,Raw,17,50.8,52,40,87.5,127.5,161.82
Chelsey Roberts,F,Raw,26,73.26,75,55,127.5,285,275.02
Christina McDowell,F,Multi-ply,46,71.21,75,117.5,0,117.5,115.54
Natalie Mayfield,F,Wraps,38,82.1,82.5,75,157.5,372.5,336.09
Zach Osenbaugh,M,Raw,19,59.51,60,82.5,147.5,230,197.64
Jared Morey,M,Single-ply,36,89.9,90,205,295,760,485.45
Jeffery Martin,M,Wraps,31,89.36,90,137.5,267.5,637.5,408.47
Bob Saeger,M,Single-ply,49,86.41,90,152.5,195,557.5,363.66
Thomas Allen,M,Raw,50,85.73,90,95,110,205,134.31
Jim Burton,M,Single-ply,36,102.33,110,182.5,260,702.5,423.73
Walter Roberts,M,Raw,30,107.5,110,135,220,547.5,324.56
Jacen Clapp,M,Wraps,18,122.56,125,125,237.5,600,343.32
Rick Streb,M,Multi-ply,60,116.12,125,257.5,0,257.5,149.24
Kejajuan Collington,M,Raw,32,66.63,67.5,170.1,0,170.1,132.53
Bryan Glynn,M,Raw,24,81.65,82.5,149.69,0,149.69,100.91
Hannah Cochran,F,Raw,28,72.94,75,54.43,0,54.43,52.67
Lindsay Seamans,F,Wraps,31,51.66,52,43.09,92.99,226.8,284.17
Tricia Emrich,F,Wraps,44,83.78,90,68.04,129.27,315.25,281.49
Taylor Nugent,F,Wraps,25,58.74,60,47.63,124.74,256.28,290.48
Victoria Renfroe,F,Raw,19,81.92,82.5,68.04,149.69,333.39,301.15
Nadia Zebouni,F,Raw,27,58.06,60,65.77,147.42,303.91,347.61
Courtney Guerrieri,F,Raw,27,65.41,67.5,90.72,158.76,412.77,431.03
Kevin Scarborough,M,Wraps,23,73.75,75,136.08,167.83,453.59,327.06
Nathan Smith,M,Raw,22,74.75,75,127.01,210.92,498.95,356.36
Derek Selles,M,Wraps,32,82.05,82.5,124.74,240.4,580.6,390.23
Al Reiss,M,Raw,61,99.79,100,106.59,167.83,433.18,263.85
Dean Smith,M,Raw,29,86.95,90,0,210.92,210.92,137.12
Spencer Bramble,M,Raw,19,89.18,90,149.69,222.26,371.95,238.57
Jon Parker,M,Raw,27,93.39,100,163.29,260.82,635.03,398.13
Kevin Hall,M,Wraps,23,133.63,140,147.42,276.69,646.37,363.85
Wayne VanNostrand,M,Raw,46,132.18,140,260.82,272.16,532.97,300.57
Robert David Sr,M,Raw,46,139.03,140,0,308.44,308.44,172.54
Mark Brewer,M,Multi-ply,44,107.73,110,154.22,249.48,587.4,347.97
Michael Brooks,M,Wraps,27,109.09,125,151.95,256.28,635.03,374.68
Joe Nielsen,M,Raw,26,131.13,140,204.12,272.16,476.27,268.96
Kyle Herbert,M,Raw,30,123.56,125,192.78,274.42,752.96,430.1
Willis Lewis,M,Multi-ply,44,109.13,110,188.24,299.37,725.75,428.15
Desi Hubbard,M,Multi-ply,31,107.91,110,0,0,0,0
Tim Smith,M,Raw,58,88.27,90,136.08,0,136.08,87.75
Harry Wotring,M,Raw,54,109.27,110,229.06,0,229.06,135.08
Sujata Bhakat,F,Raw,49,81.65,82.5,70.31,124.74,195.04,176.49
Bela Ghosh,F,Raw,47,57.7,60,81.65,142.88,224.53,258.07
Max Bolin,M,Raw,28,88.27,90,183.7,0,183.7,118.46
Willis Lewis Jr,M,Multi-ply,44,109.04,110,185.97,306.17,492.15,290.42
Sam Childs,M,Raw,66,105.96,110,183.7,0,183.7,109.43
Dawn Bogart,F,Multi-ply,42,55.25,56,79.38,133.81,333.39,396.44
Tina Bush,F,Raw,49,74.84,75,49.9,127.01,265.35,252.59
Jessica Wissman,F,Wraps,24,73.48,75,63.5,117.93,306.17,294.87
Shayna Dence,F,Wraps,33,74.03,75,61.23,129.27,315.25,302.17
Austin Smith,M,Raw,15,74.93,75,117.93,145.15,415.04,295.93
Jon Rand,M,Wraps,16,88.27,90,108.86,217.72,528.44,340.77
Kenya Cherry,M,Wraps,37,130.63,140,149.69,226.8,576.06,325.54
Lamont Keenon,M,Raw,44,72.85,75,145.15,0,145.15,105.59
Kenny Blackmon,M,Raw,45,112.94,125,213.19,0,213.19,124.49
Hanna Young,F,Raw,19,64.5,67.5,62.5,137.5,310,327.09
Priscilla Pardue,F,Wraps,53,65.41,67.5,60,115,292.5,305.44
Janet Martin,F,Raw,48,108.86,90,60,107.5,167.5,136.49
Frank Martorana,M,Raw,23,87.86,90,137.5,230,560,362.01
Dustin McClure,M,Single-ply,37,89.81,90,137.5,0,137.5,87.87
Damon Senaha,M,Wraps,55,99.56,100,107.5,200,462.5,281.97
Mark Brewer,M,Single-ply,44,99.52,100,160,240,605,368.91
Lewis Schirloff,M,Raw,51,96.21,100,177.5,0,177.5,109.79
Rob Bumgarner,M,Multi-ply,58,99.43,100,165,0,165,100.65
Mitch Phillips,M,Raw,54,106.96,110,170,260,617.5,366.66
Desi Hubbard,M,Multi-ply,32,117.34,125,295,295,1007.5,582.37
Jarod Dawson,M,Raw,40,122.97,125,0,0,0,0
John von Rohr,M,Single-ply,69,117.71,125,130,0,130,75.09
Troy Nash,M,Wraps,47,136.08,140,195,125,695,390.07
Ylander Ross,F,Wraps,50,108.86,90,97.52,181.44,433.18,352.99
Sue Welker,F,Raw,51,62.69,67.5,0,112.5,112.5,121.27
Ryan Waller,M,Raw,15,54.61,56,67.5,105,172.5,160.99
Leonard Balagat,M,Raw,19,81.19,82.5,117.5,225,507.5,343.3
Joel Byram,M,Raw,17,98.61,100,122.5,190,527.5,322.86
John Thacker,M,Multi-ply,48,98.52,100,275,0,275,168.38
Marshall Green,M,Raw,44,121.65,125,195,0,195,111.76
Chad Hickam,M,Multi-ply,42,136.17,140,227.5,0,227.5,127.67
